row ID	s47_repeat_BB5_01_51298.mzXML Peak area	s52_BC9_01_51216.mzXML Peak area	s60_BE12_01_51130.mzXML Peak area	s67b_BB6_01_51043.mzXML Peak area	s72_BD4_01_51091.mzXML Peak area	s77_BB8_01_51188.mzXML Peak area	s82_BD10_01_51103.mzXML Peak area	s86_BB11_01_51054.mzXML Peak area	s7_BB6_01_51183.mzXML Peak area	s102_BB8_01_51048.mzXML Peak area	s90_BA10_01_51027.mzXML Peak area	s94_BA4_01_51015.mzXML Peak area	s12_BC6_01_51209.mzXML Peak area	s17_BA6_01_51019.mzXML Peak area	s112_repeat_BB9_01_51300.mzXML Peak area	s22_BC4_01_51065.mzXML Peak area	s27_BE5_01_51263.mzXML Peak area	s32_BB9_01_51050.mzXML Peak area	s37_BA5_01_51017.mzXML Peak area	s42_BB3_01_51037.mzXML Peak area
407	1639976.5135	98659.1744999999	118281.487499999	91321.2699999985	110824.645	93967.1230000005	48017.0175000003	42477.9270000011	124768.954999999	160857.565500001	111388.858000001	237885.722000001	144550.3885	180166.908499999	67091.2989999975	142538.7095	157906.852500001	69745.2799999999	194867.2715	44325.8160000003
408	200654.563000002	194940.651000001	0	262195.740999999	0	80614.5899999979	0	0	78916.214000001	197189.435500001	212015.165999998	88790.3899999998	77858.5944999976	0	68523.2730000014	0	351680.9455	69355.0259999998	0	242534.57
409	67977.1575000039	146785.720999999	90815.5125000004	151162.813499999	69684.8169999987	112146.717	179890.042000001	64246.2500000006	261826.644999999	85986.7825000006	129224.634	286533.7305	95165.8490000001	88075.5350000007	66766.7220000018	46439.0125000017	210743.047500001	230612.6195	127193.2265	164070.5885
410	199599.446000001	88456.3165000009	89267.6009999993	43015.8840000003	66343.0089999986	109953.573500001	178786.716000001	40450.973500001	166677.363000002	146643.27	103973.586	119714.095500001	98797.9349999997	84278.765999999	68452.0500000002	147546.659999999	119682.817000001	144101.077000002	60826.1249999998	83497.8755000001
411	67780.5599999996	85225.7229999993	210151.249999998	0	100094.086000001	39545.5499999995	241297.3185	87630.0340000011	242144.1525	186693.060000001	42140.381499998	38684.7874999999	81330.1419999994	71729.8705000004	67233.3480000014	158161.820999999	246314.425999999	0	215284.335	43200.3224999986
413	1243289.439	148813.073499999	246670.866500001	140162.147500001	71841.1894999991	214445.518	52821.9234999993	68477.0465	109264.627	105526.730000001	154758.229	119065.1065	125917.779	73753.4014999995	703714.034999999	75588.9229999992	150131.635499999	107343.9705	121840.039	221603.926999999
419	285885.3675	22278.7845	19977.9125000001	23875.7565	22492.0375000001	23037.7875000001	23002.7755	24003.2069999999	21575.6404999999	20431.0134999999	20387.7200000001	20076.1749999999	23624.141	22100.0865	271154.522000001	27654.2390000001	29781.3199999998	21620.4265000001	21976.0180000001	18838.5995000001
420	106983.267999999	144995.4065	190990.034999999	70960.1774999982	214654.987499999	0	208396.764500002	109277.963000001	59410.7045000009	111430.648499999	173405.969499999	65886.0865000003	219104.1275	51987.0900000003	54072.8040000002	37089.9484999999	0	91698.8079999996	89461.2740000005	150253.862999999
421	54418.8975000003	208819.407499999	122914.527	136370.066000001	139374.437499999	134511.587999999	199708.945999998	99569.0014999992	184543.482	163586.349	264901.600500001	92883.9085000003	101289.306	135032.6795	55201.1155000013	173560.969	69221.402	114432.205	121651.518999999	186033.827
422	844706.391500002	58685.2130000015	90194.1900000008	72665.3374999998	91667.3889999991	78362.7385000012	157796.233000001	52196.9020000006	40978.3380000004	74884.2274999996	168276.729	207240.369	148088.3385	108422.741000001	1706815.5255	94700.5300000009	124187.166	72696.0695000008	107438.557999999	121452.942
423	426944.155	0	76648.4474999997	78965.0775000001	0	228133.514999999	89819.1644999996	38796.7774999997	89121.1479999996	0	124180.108499999	37411.6830000003	77682.7329999991	51572.2704999998	110608.354000002	138402.344000001	0	53410.1580000001	0	38649.499000001
424	55235.5979999976	56733.0245	76648.4474999997	91657.1405000001	27407.0540000009	98558.9790000001	81428.5709999999	103970.590000001	0	76474.2950000008	25906.2500000007	61033.5930000001	43170.2960000001	51572.2704999998	704590.560999999	86037.6635000004	43898.8415000002	26962.8984999996	39468.9840000003	53121.3094999991
427	50046.3479999978	62219.496	80695.6704999994	53644.1449999981	145264.247499999	188802.721999999	58595.3745000011	66675.9394999994	57684.2250000003	53314.113	50055.0659999994	67538.5114999999	240214.404999999	42923.2074999983	104674.613000002	174210.909000001	306030.048500002	109603.833999999	188107.299500001	89650.5820000001
428	52460.9899999973	68535.8324999994	171258.8655	213437.642499999	72318.2485	103412.473999999	211056.373499999	0	272514.119000003	182513.714	0	210147.798000001	67847.5964999995	141030.453000001	614600.154999996	263985.264499999	110519.625000001	250652.490999999	105727.355499999	217905.215
429	96172.6385000027	185342.1915	127563.5725	66336.6390000003	125941.898999998	107728.376499999	194002.905499999	155201.2105	117016.079	101503.273500001	103166.5345	204082.682500002	209711.610499999	123913.2105	49418.5745000017	307913.353	143455.618999999	164065.635	109070.913499999	62681.6995000009
430	1063755.926	209613.557000001	161273.523499998	151019.623	270112.871	144063.328999999	129610.4545	167820.963499999	65738.0639999993	0	68953.6810000009	28881.2200000006	191910.818	29484.6469999986	1067298.7845	119120.184999999	174950.813500001	0	161784.216	81928.6300000013
431	99332.8019999992	59233.4524999994	253140.8485	107389.060000001	108335.609999999	117818.5765	190722.191	52515.0330000005	171696.3885	53231.9190000002	36501.6225000014	66798.1449999998	94646.2099999998	53354.5744999999	52879.8765000003	199707.947	59969.2975000015	36117.1124999999	140340.645	34991.3009999991
