CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
211	661	8	0.8136	-49.982
176	515	8	0.7982	36.021
211	731	8	0.8148	2.016
176	231	8	0.7233	36.021
176	214	8	0.8876	18.011
515	535	8	0.8031	-0.000
176	211	8	0.9425	0.000
211	214	8	0.9025	18.010
181	515	8	0.8233	18.011
176	604	8	0.8898	-176.031
231	626	8	0.7521	-18.010
730	738	8	0.8765	0.000
515	623	8	0.7193	-0.000
211	604	8	0.8025	-176.031
214	515	8	0.8659	18.011
211	535	8	0.7198	36.021
231	535	8	0.8006	0.000
231	623	8	0.6546	0.000
515	626	8	0.7062	-18.010
177	738	8	0.8673	-49.982
211	518	8	0.8296	36.021
176	731	8	0.8072	2.016
211	515	8	0.8097	36.021
731	738	8	0.6919	-67.992
181	535	8	0.8314	18.011
730	731	8	0.6709	67.993
535	626	8	0.659	-18.010
535	601	8	0.7036	-2.016
214	518	8	0.8259	18.010
181	601	8	0.672	15.995
231	518	8	0.8185	0.000
231	515	8	0.8203	0.000
177	730	8	0.9092	-49.982
214	535	8	0.7732	18.011
181	518	8	0.8403	18.011
181	231	8	0.8602	18.011
176	518	8	0.7746	36.021
518	601	8	0.797	-2.016
515	518	8	0.8303	-0.000
181	626	8	0.7448	0.001
214	231	8	0.8259	18.010
231	601	8	0.7027	-2.016
515	601	8	0.7471	-2.016
181	214	8	0.911	0.000
601	623	8	0.6753	2.016
518	626	8	0.8102	-18.010
214	601	8	0.7129	15.995
176	181	8	0.8193	18.011
596	771	9	0.9279	3.008
630	634	10	0.8204	0.000
237	712	11	0.8787	-0.000
171	191	12	0.853	32.026
171	620	12	0.9019	43.990
170	357	12	0.8184	-148.037
173	653	12	0.6514	-148.036
297	378	12	0.7286	185.529
173	620	12	0.8457	58.005
171	753	12	0.7506	-148.037
613	628	12	0.8527	0.000
191	753	12	0.693	-180.063
171	173	12	0.7205	-14.016
170	620	12	0.6711	25.979
297	602	12	0.705	138.570
613	622	12	0.8374	0.000
170	172	12	0.6967	14.016
170	602	12	0.6835	170.596
178	352	12	0.8399	28.031
170	377	12	0.767	-484.248
170	378	12	0.6902	217.555
170	628	12	0.6543	142.074
172	297	12	0.7083	18.010
334	620	12	0.8501	15.958
191	620	12	0.767	11.964
620	753	12	0.694	-192.026
171	334	12	0.8287	28.031
170	613	12	0.7351	142.074
173	334	12	0.7728	42.047
191	334	12	0.7998	-3.995
178	689	12	0.9387	43.990
170	297	12	0.7309	32.026
357	377	12	0.7374	-336.211
334	613	12	0.6951	132.053
352	689	12	0.8208	15.959
172	357	12	0.675	-162.053
172	597	12	0.8725	43.990
622	628	12	0.9645	0.000
191	689	12	0.702	25.979
378	602	12	0.7595	-46.959
608	618	13	0.7997	12.073
254	679	14	0.8616	-0.000
401	679	14	0.9002	0.000
62	398	14	0.863	0.000
36	254	14	0.8296	0.000
62	254	14	0.8822	0.000
398	679	14	0.9066	-0.000
